date,price,real_price,anchor_fy,eps,bvps,pe,pb
2016-04-01,0.657216,0.920000,2015,0.112000,1.430493,5.868002,0.459433
2016-05-01,0.535811,0.740000,2015,0.112000,1.430493,4.784031,0.374564
2016-06-01,0.485127,0.670000,2015,0.112000,1.430493,4.331487,0.339132
2016-07-01,0.658903,0.910000,2015,0.112000,1.430493,5.883066,0.460613
2016-08-01,0.673385,0.930000,2015,0.112000,1.430493,6.012363,0.470736
2016-09-01,0.618000,0.850000,2015,0.112000,1.430493,5.517856,0.432019
2016-10-01,0.625270,0.860000,2015,0.112000,1.430493,5.582771,0.437101
2016-11-01,0.625270,0.860000,2015,0.112000,1.430493,5.582771,0.437101
2016-12-01,0.763412,1.050000,2015,0.112000,1.430493,6.816175,0.533670
2017-01-01,0.872470,1.200000,2015,0.112000,1.430493,7.789913,0.609909
2017-02-01,0.916094,1.260000,2015,0.112000,1.430493,8.179408,0.640404
2017-03-01,0.937905,1.290000,2015,0.112000,1.430493,8.374156,0.655652
2017-04-01,0.908823,1.250000,2016,0.029000,1.414758,31.338733,0.642388
2017-05-01,0.876103,1.200000,2016,0.029000,1.414758,30.210448,0.619260
2017-06-01,0.810395,1.110000,2016,0.029000,1.414758,27.944655,0.572815
2017-07-01,0.766590,1.050000,2016,0.029000,1.414758,26.434138,0.541852
2017-08-01,0.803094,1.100000,2016,0.029000,1.414758,27.692906,0.567655
2017-09-01,0.798240,1.080000,2016,0.029000,1.414758,27.525528,0.564224
2017-10-01,0.798240,1.080000,2016,0.029000,1.414758,27.525528,0.564224
2017-11-01,0.909107,1.230000,2016,0.029000,1.414758,31.348522,0.642588
2017-12-01,0.872151,1.180000,2016,0.029000,1.414758,30.074183,0.616467
2018-01-01,0.872151,1.180000,2016,0.029000,1.414758,30.074183,0.616467
2018-02-01,0.886934,1.200000,2016,0.029000,1.414758,30.583924,0.626915
2018-03-01,0.909107,1.230000,2016,0.029000,1.414758,31.348522,0.642588
2018-04-01,0.813022,1.100000,2017,0.074000,1.479125,10.986790,0.549664
2018-05-01,0.670935,0.900000,2017,0.074000,1.479125,9.066685,0.453602
2018-06-01,0.641115,0.860000,2017,0.074000,1.479125,8.663722,0.433442
2018-07-01,0.551658,0.740000,2017,0.074000,1.479125,7.454832,0.372962
2018-08-01,0.514383,0.690000,2017,0.074000,1.479125,6.951127,0.347762
2018-09-01,0.467800,0.620000,2017,0.074000,1.479125,6.321621,0.316268
2018-10-01,0.467800,0.620000,2017,0.074000,1.479125,6.321621,0.316268
2018-11-01,0.528161,0.700000,2017,0.074000,1.479125,7.137312,0.357077
2018-12-01,0.565887,0.750000,2017,0.074000,1.479125,7.647122,0.382582
2019-01-01,0.671519,0.890000,2017,0.074000,1.479125,9.074585,0.453998
2019-02-01,0.663974,0.880000,2017,0.074000,1.479125,8.972621,0.448896
