date,price,real_price,anchor_fy,eps,bvps,pe,pb
2016-04-01,3.964000,4.350000,2015,0.184000,2.180000,21.543478,1.818349
2016-05-01,4.329000,4.700000,2015,0.184000,2.180000,23.527174,1.985780
2016-06-01,3.288000,3.570000,2015,0.184000,2.180000,17.869565,1.508257
2016-07-01,3.242000,3.520000,2015,0.184000,2.180000,17.619565,1.487156
2016-08-01,3.491000,3.790000,2015,0.184000,2.180000,18.972826,1.601376
2016-09-01,3.694000,4.010000,2015,0.184000,2.180000,20.076087,1.694495
2016-10-01,3.454000,3.750000,2015,0.184000,2.180000,18.771739,1.584404
2016-11-01,3.224000,3.500000,2015,0.184000,2.180000,17.521739,1.478899
2016-12-01,3.417000,3.710000,2015,0.184000,2.180000,18.570652,1.567431
2017-01-01,3.113000,3.380000,2015,0.184000,2.180000,16.918478,1.427982
2017-02-01,3.187000,3.460000,2015,0.184000,2.180000,17.320652,1.461927
2017-03-01,3.473000,3.770000,2015,0.184000,2.180000,18.875000,1.593119
2017-04-01,3.251000,3.530000,2016,0.191000,2.230000,17.020942,1.457848
2017-05-01,3.509000,3.810000,2016,0.191000,2.230000,18.371728,1.573543
2017-06-01,3.024000,3.240000,2016,0.191000,2.230000,15.832461,1.356054
2017-07-01,3.575000,3.830000,2016,0.191000,2.230000,18.717277,1.603139
2017-08-01,3.892000,4.170000,2016,0.191000,2.230000,20.376963,1.745291
2017-09-01,4.023000,4.310000,2016,0.191000,2.230000,21.062827,1.804036
2017-10-01,3.976000,4.260000,2016,0.191000,2.230000,20.816754,1.782960
2017-11-01,3.901000,4.180000,2016,0.191000,2.230000,20.424084,1.749327
2017-12-01,4.004000,4.290000,2016,0.191000,2.230000,20.963351,1.795516
2018-01-01,4.499000,4.820000,2016,0.191000,2.230000,23.554974,2.017489
2018-02-01,4.293000,4.600000,2016,0.191000,2.230000,22.476440,1.925112
2018-03-01,5.003000,5.360000,2016,0.191000,2.230000,26.193717,2.243498
2018-04-01,4.667000,5.000000,2017,0.111000,3.100000,42.045045,1.505484
2018-05-01,4.517000,4.840000,2017,0.111000,3.100000,40.693694,1.457097
2018-06-01,4.480000,4.750000,2017,0.111000,3.100000,40.360360,1.445161
2018-07-01,3.876000,4.110000,2017,0.111000,3.100000,34.918919,1.250323
2018-08-01,3.037000,3.220000,2017,0.111000,3.100000,27.360360,0.979677
2018-09-01,2.952000,3.130000,2017,0.111000,3.100000,26.594595,0.952258
2018-10-01,2.292000,2.430000,2017,0.111000,3.100000,20.648649,0.739355
2018-11-01,2.641000,2.800000,2017,0.111000,3.100000,23.792793,0.851935
2018-12-01,2.320000,2.460000,2017,0.111000,3.100000,20.900901,0.748387
2019-01-01,2.292000,2.430000,2017,0.111000,3.100000,20.648649,0.739355
2019-02-01,2.669000,2.830000,2017,0.111000,3.100000,24.045045,0.860968
2019-03-01,2.150000,2.280000,2017,0.111000,3.100000,19.369369,0.693548
2019-04-01,2.103000,2.230000,2018,0.098000,2.980000,21.459184,0.705705
2019-05-01,1.698000,1.800000,2018,0.098000,2.980000,17.326531,0.569799
2019-06-01,1.669000,1.770000,2018,0.098000,2.980000,17.030612,0.560067
2019-07-01,1.518000,1.610000,2018,0.098000,2.980000,15.489796,0.509396
2019-08-01,1.405000,1.490000,2018,0.098000,2.980000,14.336735,0.471477
2019-09-01,1.113000,1.180000,2018,0.098000,2.980000,11.357143,0.373490
2019-10-01,1.075000,1.140000,2018,0.098000,2.980000,10.969388,0.360738
2019-11-01,1.415000,1.500000,2018,0.098000,2.980000,14.438776,0.474832
2019-12-01,1.632000,1.730000,2018,0.098000,2.980000,16.653061,0.547651
2020-01-01,1.349000,1.430000,2018,0.098000,2.980000,13.765306,0.452685
2020-02-01,1.254000,1.330000,2018,0.098000,2.980000,12.795918,0.420805
2020-03-01,0.802000,0.850000,2018,0.098000,2.980000,8.183673,0.269128
2020-04-01,0.745000,0.790000,2019,0.121000,3.050000,6.157025,0.244262
2020-05-01,0.594000,0.630000,2019,0.121000,3.050000,4.909091,0.194754
2020-06-01,0.820000,0.870000,2019,0.121000,3.050000,6.776860,0.268852
2020-07-01,1.217000,1.290000,2019,0.121000,3.050000,10.057851,0.399016
2020-08-01,1.075000,1.140000,2019,0.121000,3.050000,8.884298,0.352459
2020-09-01,0.915000,0.970000,2019,0.121000,3.050000,7.561983,0.300000
2020-10-01,0.924000,0.980000,2019,0.121000,3.050000,7.636364,0.302951
2020-11-01,0.953000,1.010000,2019,0.121000,3.050000,7.876033,0.312459
2020-12-01,1.000000,1.060000,2019,0.121000,3.050000,8.264463,0.327869
2021-01-01,0.924000,0.980000,2019,0.121000,3.050000,7.636364,0.302951
2021-02-01,1.122000,1.190000,2019,0.121000,3.050000,9.272727,0.367869
2021-03-01,1.349000,1.430000,2019,0.121000,3.050000,11.148760,0.442295
2021-04-01,1.754000,1.860000,2020,0.154000,3.470000,11.389610,0.505476
2021-05-01,2.358000,2.500000,2020,0.154000,3.470000,15.311688,0.679539
2021-06-01,1.688000,1.790000,2020,0.154000,3.470000,10.961039,0.486455
2021-07-01,1.698000,1.800000,2020,0.154000,3.470000,11.025974,0.489337
2021-08-01,1.217000,1.290000,2020,0.154000,3.470000,7.902597,0.350720
2021-09-01,1.113000,1.180000,2020,0.154000,3.470000,7.227273,0.320749
2021-10-01,1.066000,1.130000,2020,0.154000,3.470000,6.922078,0.307205
2021-11-01,1.075000,1.140000,2020,0.154000,3.470000,6.980519,0.309798
