date,price,real_price,anchor_fy,eps,bvps,pe,pb
2021-02-01,246.7769,268.2358,2020,0,0,,
2021-03-01,240.379,261.2815,2020,0,0,,
2021-04-01,177.588,193.0304,2021,0,9.735416,,18.2414
2021-05-01,178.045,193.5272,2021,0,9.735416,,18.2884
2021-06-01,100.6301,109.3806,2021,0,9.735416,,10.3365
2021-07-01,77.232,83.9479,2021,0,9.735416,,7.9331
2021-08-01,75.5869,82.1596,2021,0,9.735416,,7.7641
2021-09-01,94.5978,102.8237,2021,0,9.735416,,9.7169
2021-10-01,77.6433,84.3949,2021,0,9.735416,,7.9753
2021-11-01,65.8529,71.5792,2021,0,9.735416,,6.7643
2021-12-01,80.2482,87.2263,2021,0,9.735416,,8.2429
2022-01-01,81.8477,88.9649,2021,0,9.735416,,8.4072
2022-02-01,67.818,73.7152,2021,0,9.735416,,6.9661
2022-03-01,61.0087,66.3139,2021,0,9.735416,,6.2667
2022-04-01,69.4631,75.5034,2022,0,11.376019,,6.1061
2022-05-01,79.8826,86.8289,2022,0,11.376019,,7.022
2022-06-01,72.2051,78.4838,2022,0,11.376019,,6.3471
2022-07-01,62.8824,68.3505,2022,0,11.376019,,5.5276
2022-08-01,46.5677,50.6171,2022,0,11.376019,,4.0935
2022-09-01,29.5218,32.0889,2022,0,11.376019,,2.5951
2022-10-01,51.6861,56.1805,2022,0,11.376019,,4.5434
2022-11-01,64.9389,70.5858,2022,0,11.376019,,5.7084
2022-12-01,62.7453,68.2014,2022,0,11.376019,,5.5156
2023-01-01,47.9844,52.157,2022,0,11.376019,,4.218
2023-02-01,55.2506,60.055,2022,0,11.376019,,4.8568
2023-03-01,46.8876,50.9648,2022,0,11.376019,,4.1216
2023-04-01,48.4414,52.6537,2023,2.242055,13.090118,21.6058,3.7006
2023-05-01,48.9441,53.2001,2023,2.242055,13.090118,21.83,3.739
2023-06-01,61.42,66.7609,2023,2.242055,13.090118,27.3945,4.6921
2023-07-01,58.6781,63.7805,2023,2.242055,13.090118,26.1716,4.4826
2023-08-01,57.4442,62.4393,2023,2.242055,13.090118,25.6212,4.3884
2023-09-01,46.0193,50.021,2023,2.242055,13.090118,20.5255,3.5156
2023-10-01,52.7371,57.323,2023,2.242055,13.090118,23.5218,4.0288
2023-11-01,48.3957,52.604,2023,2.242055,13.090118,21.5854,3.6971
2023-12-01,35.737,38.8445,2023,2.242055,13.090118,15.9394,2.7301
2024-01-01,40.6725,44.2092,2023,2.242055,13.090118,18.1407,3.1071
2024-02-01,44.8311,48.7295,2023,2.242055,13.090118,19.9956,3.4248
2024-03-01,51.1377,55.5844,2023,2.242055,13.090118,22.8084,3.9066
2024-04-01,50.6807,55.0877,2024,3.857174,13.499673,13.1393,3.7542
2024-05-01,42.1806,45.8485,2024,3.857174,13.499673,10.9356,3.1246
2024-06-01,40.0327,43.5138,2024,3.857174,13.499673,10.3788,2.9655
2024-07-01,36.8337,40.0367,2024,3.857174,13.499673,9.5494,2.7285
2024-08-01,50.1323,54.4916,2024,3.857174,13.499673,12.9972,3.7136
2024-09-01,41.9521,45.6001,2024,3.857174,13.499673,10.8764,3.1076
2024-10-01,44.0543,47.8851,2024,3.857174,13.499673,11.4214,3.2634
2024-11-01,37.8848,41.1792,2024,3.857174,13.499673,9.8219,2.8064
2024-12-01,38.5703,41.9243,2024,3.857174,13.499673,9.9996,2.8571
2025-01-01,46.2478,50.2694,2024,3.857174,13.499673,11.9901,3.4258
2025-02-01,49.6753,53.9949,2024,3.857174,13.499673,12.8787,3.6797
2025-03-01,47.1618,51.2628,2024,3.857174,13.499673,12.227,3.4936
2025-04-01,48.7156,52.9517,2025,4.55985,17.57023,10.6836,2.7726
2025-05-01,57.8555,62.8864,2025,4.55985,17.57023,12.688,3.2928
2025-06-01,70.3771,76.4969,2025,4.55985,17.57023,15.4341,4.0055
2025-07-01,68.869,74.8577,2025,4.55985,17.57023,15.1034,3.9196
2025-08-01,77.3234,84.0472,2025,4.55985,17.57023,16.9575,4.4008
2025-09-01,66.562,72.35,2025,4.55985,17.57023,14.5974,3.7883
2025-10-01,62.376,67.8,2025,4.55985,17.57023,13.6794,3.5501
2025-11-01,58.65,63.75,2025,4.55985,17.57023,12.8623,3.338
2025-12-01,73.738,80.15,2025,4.55985,17.57023,16.1711,4.1968
2026-01-01,57.822,62.85,2025,4.55985,17.57023,12.6807,3.2909
2026-02-01,41.5104,45.12,2025,4.55985,17.57023,9.1035,2.3625
2026-03-01,40.0384,43.52,2025,4.55985,17.57023,8.7806,2.2788
2026-04-01,39.468,42.9,2025,4.55985,17.57023,8.6555,2.2463
