date,price,real_price,anchor_fy,eps,bvps,pe,pb
2016-04-01,0.598599,0.850000,2015,0.100900,0.627000,5.932592,0.954703
2016-05-01,0.683107,0.970000,2015,0.100900,0.627000,6.770134,1.089484
2016-06-01,0.542766,0.750000,2015,0.100900,0.627000,5.379242,0.865655
2016-07-01,0.506581,0.700000,2015,0.100900,0.627000,5.020626,0.807944
2016-08-01,0.506581,0.700000,2015,0.100900,0.627000,5.020626,0.807944
2016-09-01,0.423368,0.580000,2015,0.100900,0.627000,4.195912,0.675227
2016-10-01,0.416068,0.570000,2015,0.100900,0.627000,4.123569,0.663586
2016-11-01,0.459865,0.630000,2015,0.100900,0.627000,4.557629,0.733437
2016-12-01,0.503661,0.690000,2015,0.100900,0.627000,4.991689,0.803288
2017-01-01,0.496362,0.680000,2015,0.100900,0.627000,4.919346,0.791646
2017-02-01,0.474464,0.650000,2015,0.100900,0.627000,4.702316,0.756720
2017-03-01,0.554758,0.760000,2015,0.100900,0.627000,5.498093,0.884781
2017-04-01,0.525560,0.720000,2016,0.059200,0.694000,8.877700,0.757291
2017-05-01,0.562057,0.770000,2016,0.059200,0.694000,9.494206,0.809880
2017-06-01,0.591442,0.800000,2016,0.059200,0.694000,9.990573,0.852222
2017-07-01,0.517512,0.700000,2016,0.059200,0.694000,8.741750,0.745694
2017-08-01,0.584049,0.790000,2016,0.059200,0.694000,9.865690,0.841569
2017-09-01,0.502726,0.680000,2016,0.059200,0.694000,8.491988,0.724389
2017-10-01,0.517512,0.700000,2016,0.059200,0.694000,8.741750,0.745694
2017-11-01,0.517512,0.700000,2016,0.059200,0.694000,8.741750,0.745694
2017-12-01,0.480547,0.650000,2016,0.059200,0.694000,8.117340,0.692430
2018-01-01,0.480547,0.650000,2016,0.059200,0.694000,8.117340,0.692430
2018-02-01,0.480547,0.650000,2016,0.059200,0.694000,8.117340,0.692430
2018-03-01,0.480547,0.650000,2016,0.059200,0.694000,8.117340,0.692430
2018-04-01,0.443581,0.600000,2017,0.022700,0.748000,19.541034,0.593023
2018-05-01,0.421402,0.570000,2017,0.022700,0.748000,18.563980,0.563372
2018-06-01,0.413508,0.550000,2017,0.022700,0.748000,18.216218,0.552818
2018-07-01,0.383435,0.510000,2017,0.022700,0.748000,16.891398,0.512613
2018-08-01,0.360880,0.480000,2017,0.022700,0.748000,15.897788,0.482460
2018-09-01,0.300733,0.400000,2017,0.022700,0.748000,13.248158,0.402050
2018-10-01,0.285696,0.380000,2017,0.022700,0.748000,12.585748,0.381947
2018-11-01,0.300733,0.400000,2017,0.022700,0.748000,13.248158,0.402050
2018-12-01,0.338325,0.450000,2017,0.022700,0.748000,14.904176,0.452306
2019-01-01,0.323288,0.430000,2017,0.022700,0.748000,14.241770,0.432203
2019-02-01,0.281937,0.375000,2017,0.022700,0.748000,12.420147,0.376922
2019-03-01,0.251864,0.335000,2017,0.022700,0.748000,11.095331,0.336717
2019-04-01,0.202995,0.270000,2018,-0.003300,0.700000,,0.289993
2019-05-01,0.178936,0.238000,2018,-0.003300,0.700000,,0.255623
2019-06-01,0.169914,0.226000,2018,-0.003300,0.700000,,0.242735
2019-07-01,0.157885,0.210000,2018,-0.003300,0.700000,,0.225550
2019-08-01,0.151118,0.201000,2018,-0.003300,0.700000,,0.215883
2019-09-01,0.179688,0.239000,2018,-0.003300,0.700000,,0.256697
2019-10-01,0.172922,0.230000,2018,-0.003300,0.700000,,0.247031
2019-11-01,0.156381,0.208000,2018,-0.003300,0.700000,,0.223402
2019-12-01,0.146607,0.195000,2018,-0.003300,0.700000,,0.209439
2020-01-01,0.149615,0.199000,2018,-0.003300,0.700000,,0.213735
2020-02-01,0.127812,0.170000,2018,-0.003300,0.700000,,0.182588
2020-03-01,0.111271,0.148000,2018,-0.003300,0.700000,,0.158959
2020-04-01,0.080446,0.107000,2019,-0.123700,0.494000,,0.162846
2020-05-01,0.105257,0.140000,2019,-0.123700,0.494000,,0.213070
2020-06-01,0.090220,0.120000,2019,-0.123700,0.494000,,0.182631
2020-07-01,0.067665,0.090000,2019,-0.123700,0.494000,,0.136974
2020-08-01,0.071424,0.095000,2019,-0.123700,0.494000,,0.144583
2020-09-01,0.105257,0.140000,2019,-0.123700,0.494000,,0.213070
2020-10-01,0.090220,0.120000,2019,-0.123700,0.494000,,0.182631
2020-11-01,0.115030,0.153000,2019,-0.123700,0.494000,,0.232855
2020-12-01,0.150367,0.200000,2019,-0.123700,0.494000,,0.304386
2021-01-01,0.214272,0.285000,2019,-0.123700,0.494000,,0.433750
2021-02-01,0.191717,0.255000,2019,-0.123700,0.494000,,0.388092
2021-03-01,0.115782,0.154000,2019,-0.123700,0.494000,,0.234377
2021-04-01,0.127812,0.170000,2020,0.033400,0.547000,3.826695,0.233659
2021-05-01,0.172922,0.230000,2020,0.033400,0.547000,5.177293,0.316127
2021-06-01,0.225550,0.300000,2020,0.033400,0.547000,6.752991,0.412340
2021-07-01,0.233068,0.310000,2020,0.033400,0.547000,6.978090,0.426084
2021-08-01,0.218032,0.290000,2020,0.033400,0.547000,6.527890,0.398595
2021-09-01,0.202995,0.270000,2020,0.033400,0.547000,6.077692,0.371106
2021-10-01,0.221791,0.295000,2020,0.033400,0.547000,6.640440,0.405467
